Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NATH,65.8,14-11-2023,13:38 EST,0.6500015,66,66.05,65.65,3934,20231114,65.8,1,0,,,
OKE,65.8,14-11-2023,14:36 EST,1.1399994,65.57,66.265,65.46,1510385,20231114,65.8,1,0,,,
SHOP,65.785,14-11-2023,14:36 EST,3.4450035,64.26,65.9,63.98,9278101,20231114,65.785,1,0,,,
BBY,65.7493,14-11-2023,14:36 EST,1.909298,65.44,67,65.01,2253301,20231114,65.7493,1,0,,,
GKOS,65.64,14-11-2023,14:36 EST,2.1499977,65.23,66.72,64.755,173620,20231114,65.64,1,0,,,
MED,65.625,14-11-2023,14:34 EST,3.4550018,63.82,67.865,63.83,128831,20231114,65.625,1,0,,,
EW,65.39,14-11-2023,14:36 EST,0.7900009,65.7,66.56,65.1,2706834,20231114,65.39,1,0,,,
NTIOF,65.385,14-11-2023,14:06 EST,2.2270012,64.21,65.385,64.21,4327,20231114,65.385,1,0,,,
FBIN,65.32,14-11-2023,14:36 EST,5.4799995,62.16,65.37,62.25,1217501,20231114,65.32,1,0,,,
EIX,65.2066,14-11-2023,14:36 EST,2.9565964,63.84,65.29,63.91,1258705,20231114,65.2066,1,0,,,
GIS,65.195,14-11-2023,14:36 EST,0.034996033,65.15,65.525,65.065,2300367,20231114,65.195,1,0,,,
IESC,65.17,14-11-2023,14:33 EST,2.7599983,63.46,65.43,63.19,14426,20231114,65.17,1,0,,,
ITRI,65.06,14-11-2023,14:34 EST,1.5299988,65.3,65.45,64.56,209130,20231114,65.06,1,0,,,
TMDX,65.0399,14-11-2023,14:36 EST,5.3899,61.98,66.42,61.98,582609,20231114,65.0399,1,0,,,
ASHTF,65,14-11-2023,14:11 EST,3.089901,63.57,65,63.57,839,20231114,65,1,0,,,
PLNT,64.91,14-11-2023,14:35 EST,1.0800018,65.04,65.81,64.56,697625,20231114,64.91,1,0,,,
EHC,64.803,14-11-2023,14:36 EST,1.4029999,63.93,65.4451,63.9512,346299,20231114,64.803,1,0,,,
ZD,64.78,14-11-2023,14:36 EST,5.029999,61.57,65.265,60,326754,20231114,64.78,1,0,,,
